GapLength,Station,GapID,Date,TrueValue,PredictedValue
30,andhiyarkhore,1,1990-03-13,1.246,1.5541800000000003
30,andhiyarkhore,1,1990-03-14,1.316,1.4145399999999997
30,andhiyarkhore,1,1990-03-15,1.089,1.3316699999999995
30,andhiyarkhore,1,1990-03-16,1.099,1.2827899999999994
30,andhiyarkhore,1,1990-03-17,0.965,1.2204899999999992
30,andhiyarkhore,1,1990-03-18,0.8,1.1796899999999995
30,andhiyarkhore,1,1990-03-19,0.806,1.1603199999999994
30,andhiyarkhore,1,1990-03-20,0.827,1.0636399999999997
30,andhiyarkhore,1,1990-03-21,0.854,1.3591999999999995
30,andhiyarkhore,1,1990-03-22,0.797,1.405709999999999
30,andhiyarkhore,1,1990-03-23,0.728,1.4597699999999991
30,andhiyarkhore,1,1990-03-24,0.748,1.4036899999999994
30,andhiyarkhore,1,1990-03-25,0.7,1.4409699999999994
30,andhiyarkhore,1,1990-03-26,0.618,1.3161299999999991
30,andhiyarkhore,1,1990-03-27,0.618,1.2964499999999992
30,andhiyarkhore,1,1990-03-28,0.618,1.39028
30,andhiyarkhore,1,1990-03-29,0.618,1.3596799999999996
30,andhiyarkhore,1,1990-03-30,0.618,1.59463
30,andhiyarkhore,1,1990-03-31,0.618,1.6304799999999997
30,andhiyarkhore,1,1990-04-01,0.65,1.5220199999999997
30,andhiyarkhore,1,1990-04-02,0.65,0.7020400000000001
30,andhiyarkhore,1,1990-04-03,0.65,0.6614600000000002
30,andhiyarkhore,1,1990-04-04,0.55,1.5337299999999996
30,andhiyarkhore,1,1990-04-05,0.55,1.5053199999999998
30,andhiyarkhore,1,1990-04-06,0.6,1.5579399999999992
30,andhiyarkhore,1,1990-04-07,0.6,1.6066599999999998
30,andhiyarkhore,1,1990-04-08,0.65,1.28314
30,andhiyarkhore,1,1990-04-09,0.55,0.67151
30,andhiyarkhore,1,1990-04-10,0.421,0.65634
30,andhiyarkhore,1,1990-04-11,0.421,0.6594299999999998
30,andhiyarkhore,1,1990-04-12,0.421,0.421
30,bamnidhi,1,1991-11-18,90.16,25.07829999999999
30,bamnidhi,1,1991-11-19,89.59,22.618000000000002
30,bamnidhi,1,1991-11-20,90.71,22.023250000000004
30,bamnidhi,1,1991-11-21,95.0,21.70675000000001
30,bamnidhi,1,1991-11-22,86.74,22.006950000000007
30,bamnidhi,1,1991-11-23,96.64,21.55185000000001
30,bamnidhi,1,1991-11-24,90.0,21.593950000000003
30,bamnidhi,1,1991-11-25,86.96,21.71815000000001
30,bamnidhi,1,1991-11-26,80.31,22.097250000000003
30,bamnidhi,1,1991-11-27,92.73,20.923600000000008
30,bamnidhi,1,1991-11-28,87.83,21.256250000000005
30,bamnidhi,1,1991-11-29,94.81,21.042100000000005
30,bamnidhi,1,1991-11-30,92.27,20.14520000000001
30,bamnidhi,1,1991-12-01,95.0,22.43978
30,bamnidhi,1,1991-12-02,82.79,21.22603
30,bamnidhi,1,1991-12-03,59.85,21.059079999999998
30,bamnidhi,1,1991-12-04,66.76,20.97895
30,bamnidhi,1,1991-12-05,76.98,18.754500000000007
30,bamnidhi,1,1991-12-06,98.69,21.17982000000001
30,bamnidhi,1,1991-12-07,97.29,17.74067
30,bamnidhi,1,1991-12-08,105.0,19.032670000000003
30,bamnidhi,1,1991-12-09,104.4,18.796040000000005
30,bamnidhi,1,1991-12-10,105.5,21.113030000000002
