Latitude (N),Longitude (E),Name of site
21°50'02",81°36'21",Andhiyarkhore
21°53'55",82°43'02",Bamnidih
20°54'45",81°53'10",Baronda
21°43'36",82°47'17",Basantpur
20°51'18",84°19'00",Boudh
22°03'24",82°13'15",Ghatora
21°43'30",82°20'50",Jondhra
20°39'00",83°43'55",Kantamal
20°11'51",83°13'30",Kesinga
21°14'10",81°14'50",Kotni
21°59'15",83°12'15",Kurubhata
21°00'56",83°06'17",Padampur
20°58'25",81°52'48",Rajim
21°39'06",82°31'10",Rampur
20°59'00",83°32'22",Salebhata
21°43'00",82°35'48",Seorinarayan
21°37'54",81°41'16",Simga
22°06'55",84°00'40",Sundergarh
20°38'00",84°37'08",Tikarapara
21°20'28",81°35'38",Patharidih
21°53'19",83°24'10",Kelo
21°46'50",84°04'54",Parmanpur
21°36'39",83°48'56",Hirakud reservoir
