,Latitude (N),Longitude (E),Name of site,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
V1,43.759167,-71.686111,usgs_01076500,0,0,0,0,0,0,0,0,0,0
V2,43.567778,-71.748333,usgs_01078000,1,0,0,0,0,0,0,0,0,0
V3,43.990833,-71.091389,usgs_01064500,0,0,0,0,0,0,0,0,0,0
V4,44.707222,-69.939167,usgs_01048000,0,0,0,0,0,0,0,0,0,1
V5,44.608056,-67.936111,usgs_01022500,0,0,0,0,0,0,0,0,0,0
V6,44.390833,-70.979722,usgs_01054200,0,0,0,0,0,0,0,0,0,0
V7,44.877778,-71.056944,usgs_01052500,0,0,0,0,0,0,0,0,0,0
V8,46.7,-69.716389,usgs_01010000,0,0,0,0,0,0,0,0,0,0
V9,44.642222,-70.588056,usgs_01055000,0,0,0,0,0,1,0,0,0,0
V10,44.869167,-69.955556,usgs_01047000,0,0,0,0,0,0,0,0,0,0
